               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.017794,           0.0060747,                   0,             0.99987,                   1,               0.995,             0.78347,            0.017987,           0.0045675,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.017423,           0.0059463,                   0,             0.99987,                   1,               0.995,             0.79101,            0.017828,           0.0045191,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.017505,           0.0059464,                   0,             0.99987,                   1,               0.995,             0.78435,            0.017846,            0.004598,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.017401,           0.0060324,                   0,             0.99988,                   1,               0.995,             0.78692,            0.017579,            0.004568,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.017286,           0.0058342,                   0,             0.99988,                   1,               0.995,             0.78754,            0.017688,           0.0045115,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.017139,           0.0059971,                   0,             0.99987,                   1,               0.995,             0.78998,            0.017466,           0.0044827,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.017133,           0.0058593,                   0,             0.99987,                   1,               0.995,             0.79025,            0.017932,           0.0045521,                   0,            0.001288,            0.001288,            0.001288
                  46,             0.01699,           0.0058819,                   0,             0.99988,                   1,               0.995,             0.78804,            0.017753,           0.0045487,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.016701,           0.0059491,                   0,             0.99988,                   1,               0.995,              0.7951,            0.017456,           0.0045281,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.016607,           0.0058293,                   0,             0.99988,                   1,               0.995,             0.78895,            0.017512,           0.0045728,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.016524,           0.0056905,                   0,             0.99988,                   1,               0.995,             0.79059,            0.017423,           0.0044851,                   0,            0.000496,            0.000496,            0.000496
